kepid,tce_plnt_num,pred_class,norm_kepid
000757450,01,1,000757450
000892667,01,0,000892667
000892772,01,0,000892772
001026032,01,0,001026032
001026032,02,0,001026032
001026133,01,0,001026133
001026133,02,0,001026133
001026957,01,1,001026957
001028018,01,0,001028018
001160891,01,0,001160891
001160891,02,0,001160891
001160891,03,0,001160891
001161345,01,1,001161345
001162150,01,0,001162150
001162150,02,0,001162150
001162150,03,0,001162150
001162345,01,0,001162345
001162345,02,0,001162345
001162345,03,0,001162345
001164109,01,0,001164109
001292087,01,0,001292087
001292087,02,0,001292087
001293031,01,0,001293031
001293031,02,0,001293031
001293379,01,1,001293379
001294670,01,0,001294670
001294670,02,0,001294670
001294756,01,0,001294756
001295289,01,0,001295289
001295546,01,0,001295546
001295546,02,0,001295546
001296164,01,0,001296164
001296164,02,0,001296164
001296164,03,0,001296164
001296721,01,0,001296721
001429120,01,0,001429120
001429120,02,0,001429120
001429589,01,1,001429589
001429653,01,0,001429653
001429653,02,0,001429653
001430207,01,0,001430207
001430590,01,0,001430590
001430590,02,0,001430590
001430741,01,0,001430741
001430741,02,0,001430741
001431122,01,1,001431122
001431794,01,0,001431794
001431794,02,0,001431794
001431794,03,0,001431794
001432149,01,0,001432149
001432214,01,0,001432214
001432214,02,0,001432214
001432789,01,1,001432789
001432789,02,1,001432789
001433399,01,0,001433399
001433399,02,0,001433399
001433399,03,0,001433399
001433531,01,0,001433531
001433899,01,0,001433899
001433962,01,0,001433962
001433980,01,0,001433980
001433980,02,0,001433980
001433980,03,0,001433980
001434660,01,0,001434660
001434660,02,0,001434660
001434800,01,0,001434800
001434800,02,0,001434800
001434800,03,0,001434800
001570924,01,0,001570924
001571088,01,0,001571088
001571511,01,0,001571511
001571511,02,0,001571511
001571717,01,0,001571717
001571717,02,0,001571717
001572948,01,1,001572948
001573174,01,0,001573174
001573174,02,0,001573174
001574792,01,0,001574792
001575690,01,0,001575690
001575873,01,1,001575873
001575977,01,0,001575977
001575977,02,0,001575977
001575977,03,0,001575977
001576115,01,0,001576115
001576115,02,0,001576115
001576115,03,0,001576115
001576115,04,0,001576115
001576141,01,0,001576141
001576144,01,0,001576144
001576144,02,0,001576144
001576144,03,0,001576144
001576144,04,0,001576144
001576144,05,0,001576144
001576558,01,0,001576558
001577039,01,0,001577039
001577039,02,0,001577039
001577039,03,0,001577039
001577039,04,0,001577039
001577912,01,0,001577912
001577912,02,0,001577912
001717528,01,0,001717528
001717722,01,1,001717722
001717722,02,1,001717722
001718189,01,1,001718189
001718189,02,1,001718189
001718189,03,1,001718189
001718290,01,0,001718290
001718290,02,0,001718290
001718290,03,0,001718290
001718594,01,0,001718594
001718594,02,0,001718594
001718594,03,0,001718594
001718958,01,1,001718958
001719308,01,0,001719308
001720673,01,0,001720673
001721157,01,1,001721157
001721361,01,0,001721361
001721795,01,0,001721795
001724222,01,0,001724222
001724222,02,0,001724222
001724513,01,0,001724513
001724719,01,1,001724719
001724719,02,1,001724719
001724961,01,0,001724961
001724961,02,0,001724961
001724961,03,0,001724961
001725016,01,1,001725016
001725193,01,0,001725193
001849235,01,0,001849235
001849235,02,0,001849235
001849235,03,0,001849235
001849555,01,0,001849555
001849702,01,1,001849702
001865042,01,1,001865042
001865567,01,0,001865567
001865567,02,0,001865567
001865567,03,0,001865567
001866252,01,0,001866252
001867078,01,0,001867078
001867630,01,0,001867630
001868918,01,0,001868918
001869607,01,0,001869607
001869607,02,0,001869607
001870398,01,1,001870398
001870849,01,0,001870849
001870849,02,0,001870849
001870849,03,0,001870849
001870849,04,0,001870849
001871056,01,1,001871056
001871056,02,1,001871056
001871483,01,1,001871483
001872262,01,0,001872262
001872262,02,0,001872262
001872821,01,1,001872821
001872948,01,0,001872948
001872948,02,0,001872948
001872948,03,0,001872948
001873030,01,0,001873030
001873513,01,1,001873513
001995519,01,1,001995519
001995732,01,0,001995732
001995732,02,0,001995732
001996180,01,1,001996180
001996180,02,1,001996180
001996456,01,0,001996456
001996679,01,0,001996679
001996679,02,0,001996679
001996773,01,0,001996773
002010191,01,0,002010191
002010414,01,0,002010414
002010414,02,0,002010414
002010414,03,0,002010414
002010414,04,0,002010414
002010607,01,1,002010607
002011424,01,0,002011424
002011424,02,0,002011424
002011424,03,0,002011424
002012722,01,0,002012722
002012722,02,0,002012722
002013883,01,1,002013883
002014991,01,0,002014991
002015013,01,0,002015013
002016979,01,0,002016979
002016979,02,0,002016979
002018261,01,0,002018261
002018685,01,0,002018685
002018685,02,0,002018685
002018685,03,0,002018685
002018906,01,0,002018906
002019076,01,0,002019076
002019227,01,0,002019227
002019297,01,0,002019297
002019477,01,0,002019477
002019477,02,0,002019477
002019477,03,0,002019477
002019477,04,0,002019477
002020444,01,0,002020444
002021099,01,0,002021099
002021100,01,0,002021100
002021100,02,0,002021100
002021440,01,0,002021440
002021440,02,0,002021440
002140360,01,0,002140360
002141783,01,1,002141783
002141938,01,0,002141938
002141938,02,0,002141938
002142522,01,1,002142522
002156514,01,0,002156514
002157247,01,0,002157247
002157247,02,0,002157247
002157489,01,0,002157489
002157489,02,0,002157489
002158190,01,0,002158190
002158208,01,0,002158208
002158208,02,0,002158208
002158208,03,0,002158208
002159700,01,0,002159700
002159852,01,0,002159852
002159852,02,0,002159852
002159852,03,0,002159852
002159852,04,0,002159852
002161536,01,1,002161536
002161623,01,0,002161623
002161623,02,0,002161623
002161949,01,1,002161949
002161949,02,1,002161949
002162635,01,0,002162635
002162635,02,0,002162635
002162904,01,0,002162904
002162904,02,0,002162904
002162904,03,0,002162904
002162994,01,0,002162994
002163326,01,0,002163326
002164165,01,0,002164165
002164169,01,1,002164169
002164726,01,0,002164726
002164884,01,0,002164884
002165002,01,1,002165002
002165002,02,1,002165002
002165188,01,0,002165188
002165352,01,0,002165352
002166200,01,1,002166200
002166206,01,0,002166206
002166218,01,0,002166218
002166218,02,0,002166218
002167183,01,0,002167183
002167444,01,1,002167444
002167600,01,0,002167600
002167600,02,0,002167600
002167600,03,0,002167600
002167783,01,0,002167783
002167783,02,0,002167783
002167890,01,0,002167890
002167890,02,0,002167890
002168333,01,0,002168333
002168333,02,0,002168333
002168333,03,0,002168333
002168420,01,0,002168420
002168420,02,0,002168420
002282763,01,0,002282763
002282763,02,0,002282763
002282763,03,0,002282763
002283124,01,0,002283124
002283124,02,0,002283124
002283124,03,0,002283124
002283362,01,1,002283362
002283362,02,0,002283362
002297728,01,0,002297728
002297728,02,0,002297728
002297729,01,0,002297729
002297739,01,0,002297739
002297739,02,0,002297739
002297793,01,0,002297793
002300319,01,0,002300319
002300529,01,0,002300529
002300529,02,0,002300529
002300529,03,0,002300529
002300603,01,0,002300603
002300603,02,0,002300603
002300603,03,0,002300603
002300603,04,0,002300603
002301068,01,1,002301068
002302548,01,1,002302548
002302548,02,1,002302548
002303102,01,0,002303102
002303304,01,0,002303304
002303365,01,0,002303365
002303365,02,0,002303365
002303365,03,0,002303365
002303903,01,1,002303903
002304168,01,0,002304168
002304168,02,0,002304168
002304235,01,0,002304235
002304235,02,0,002304235
002304235,03,0,002304235
002304320,01,1,002304320
002304566,01,0,002304566
002304655,01,0,002304655
002305255,01,0,002305255
002305311,01,0,002305311
002305372,01,0,002305372
002305543,01,1,002305543
002305866,01,1,002305866
002305866,02,1,002305866
002305866,03,0,002305866
002305866,04,0,002305866
002306740,01,0,002306740
002306740,02,0,002306740
002306740,03,0,002306740
002307197,01,0,002307197
002307199,01,1,002307199
002307199,02,0,002307199
002307206,01,0,002307206
002307206,02,0,002307206
002307415,01,1,002307415
002307415,02,1,002307415
002307533,01,0,002307533
002307533,02,0,002307533
002307533,03,0,002307533
002308603,01,0,002308603
002308957,01,1,002308957
002309568,01,0,002309568
002309568,02,0,002309568
002309579,01,0,002309579
002309579,02,0,002309579
002309585,01,0,002309585
002309587,01,0,002309587
002309587,02,0,002309587
002309719,01,1,002309719
002309910,01,0,002309910
002310284,01,0,002310284
002310284,02,0,002310284
002310586,01,0,002310586
002422539,01,0,002422539
002422820,01,1,002422820
002436378,01,0,002436378
002436421,01,0,002436421
002436635,01,0,002436635
002437060,01,0,002437060
002437112,01,0,002437112
002437112,02,0,002437112
002437112,03,0,002437112
002437149,01,0,002437149
002437149,02,0,002437149
002437340,01,0,002437340
002437452,01,0,002437452
002437488,01,0,002437488
002437488,02,0,002437488
002437505,01,0,002437505
002437505,02,0,002437505
002437762,01,0,002437762
002437783,01,0,002437783
002437783,02,0,002437783
002437804,01,0,002437804
002437897,01,0,002437897
002438061,01,0,002438061
002438062,01,0,002438062
002438070,01,0,002438070
002438249,01,0,002438249
002438264,01,1,002438264
002438264,02,1,002438264
002438490,01,0,002438490
002438490,02,0,002438490
002438502,01,0,002438502
002438502,02,0,002438502
002438513,01,1,002438513
002438517,01,0,002438517
002439211,01,0,002439211
002439211,02,0,002439211
002439243,01,1,002439243
002439469,01,0,002439469
002439660,01,0,002439660
002439798,01,0,002439798
002440757,01,0,002440757
002440757,02,0,002440757
002441151,01,0,002441151
002441161,01,0,002441161
002441470,01,0,002441470
002441495,01,1,002441495
002441728,01,0,002441728
002442084,01,0,002442084
002442084,02,0,002442084
002442118,01,0,002442118
002442118,02,0,002442118
002442359,01,0,002442359
002442448,01,1,002442448
002442551,01,0,002442551
002443393,01,1,002443393
002443753,01,0,002443753
002444412,01,1,002444412
002444769,01,0,002444769
002445129,01,0,002445129
002445129,02,0,002445129
002445134,01,0,002445134
002445134,02,0,002445134
002445154,01,0,002445154
002445298,01,0,002445298
002445975,01,0,002445975
002445975,02,0,002445975
002445975,03,0,002445975
002446113,01,0,002446113
002446113,02,1,002446113
002446623,01,1,002446623
002447832,01,0,002447832
002447832,02,0,002447832
002448113,01,0,002448113
002448307,01,0,002448307
002449053,01,0,002449053
002449074,01,0,002449074
002449074,02,0,002449074
002449090,01,0,002449090
002449090,02,0,002449090
002449101,01,0,002449101
002449245,01,1,002449245
002449383,01,0,002449383
002449431,01,1,002449431
002450716,01,0,002450716
002450944,01,0,002450944
002451696,01,0,002451696
002452185,01,0,002452185
002452289,01,0,002452289
002452440,01,0,002452440
002452440,02,0,002452440
002452450,01,0,002452450
002452450,02,0,002452450
002452920,01,0,002452920
002554853,01,0,002554853
002554853,02,0,002554853
002554867,01,0,002554867
002554867,02,0,002554867
002554867,03,0,002554867
002556639,01,0,002556639
002556650,01,1,002556650
002557335,01,0,002557335
002557335,02,0,002557335
002557350,01,1,002557350
002557430,01,0,002557430
002557555,01,0,002557555
002557816,01,1,002557816
002558163,01,1,002558163
002558363,01,0,002558363
002558370,01,1,002558370
002558488,01,0,002558488
002568519,01,0,002568519
002568971,01,0,002568971
002568971,02,0,002568971
002568971,03,0,002568971
002568971,04,0,002568971
002569488,01,0,002569488
002569494,01,0,002569494
002569516,01,0,002569516
002570281,01,0,002570281
002570281,02,0,002570281
002570432,01,0,002570432
002570505,01,0,002570505
002570760,01,0,002570760
002570767,01,0,002570767
002570773,01,0,002570773
002571075,01,0,002571075
002571238,01,1,002571238
002571417,01,0,002571417
002571417,02,0,002571417
002571417,03,0,002571417
002571417,04,0,002571417
002571868,01,0,002571868
002571868,02,0,002571868
002571868,03,0,002571868
002572029,01,1,002572029
002573056,01,0,002573056
002574201,01,0,002574201
002574338,01,1,002574338
002574543,01,0,002574543
002574960,01,0,002574960
002574960,02,0,002574960
002575161,01,0,002575161
002575952,01,0,002575952
002575964,01,0,002575964
002575964,02,0,002575964
002575964,03,0,002575964
002576107,01,1,002576107
002576197,01,0,002576197
002576224,01,0,002576224
002576224,02,0,002576224
002576692,01,0,002576692
002576692,02,0,002576692
002577952,01,0,002577952
002578072,01,0,002578072
002578077,01,0,002578077
002578077,02,0,002578077
002578404,01,0,002578404
002578404,02,0,002578404
002578404,03,0,002578404
002578811,01,0,002578811
002578891,01,0,002578891
002578901,01,0,002578901
002578901,02,0,002578901
002578901,03,0,002578901
002579043,01,1,002579043
002579147,01,0,002579147
002579147,02,0,002579147
002579147,03,0,002579147
002579147,04,0,002579147
002579814,01,0,002579814
002579906,01,0,002579906
002580613,01,0,002580613
002580872,01,0,002580872
002580872,02,0,002580872
002580872,03,0,002580872
002580882,01,0,002580882
002581191,01,0,002581191
002581316,01,1,002581316
002581316,02,1,002581316
002581452,01,0,002581452
002581457,01,0,002581457
002581457,02,0,002581457
002581457,03,0,002581457
002581554,01,1,002581554
002581674,01,0,002581674
002581674,02,0,002581674
002581674,03,0,002581674
002582539,01,0,002582539
002582800,01,0,002582800
002583153,01,0,002583153
002583153,02,0,002583153
002583234,01,0,002583234
002583234,02,0,002583234
002583667,01,0,002583667
002583669,01,0,002583669
002583777,01,0,002583777
002583777,02,0,002583777
002584115,01,0,002584115
002584118,01,0,002584118
002584163,01,1,002584163
002584879,01,0,002584879
002584879,02,0,002584879
002584908,01,0,002584908
002585092,01,0,002585092
002585092,02,0,002585092
002585092,03,0,002585092
002585092,04,0,002585092
002692377,01,1,002692377
002692377,02,0,002692377
002692377,03,0,002692377
002693092,01,0,002693092
002693092,02,0,002693092
002693097,01,0,002693097
002693097,02,0,002693097
002693097,03,0,002693097
002693450,01,0,002693450
002693450,02,0,002693450
002693736,01,1,002693736
002694337,01,0,002694337
002694337,02,0,002694337
002695030,01,0,002695030
002695030,02,0,002695030
002695110,01,0,002695110
002696703,01,1,002696703
002696938,01,0,002696938
002697935,01,1,002697935
002706947,01,0,002706947
002707097,01,0,002707097
002707479,01,0,002707479
002707479,02,0,002707479
002707479,03,0,002707479
002707916,01,0,002707916
002707985,01,0,002707985
002708156,01,0,002708156
002708156,02,0,002708156
002708172,01,0,002708172
002708176,01,0,002708176
002708203,01,0,002708203
002708221,01,0,002708221
